Date,Open,High,Low,Close,Volume,MA5,MA20,Price_Change,Volume_Change,HL_Range,OC_Change
2025-01-28,50.59,51.59,47.81,50.26,86563217,52.492,57.199,0.0005972526378659193,0.30586157238264544,0.0752089136490251,-0.006523028266455928
2025-01-29,52.77,52.77,52.77,52.77,13990368,52.022000000000006,56.571000000000005,0.049940310385993,-0.8383797589223145,0.0,0.0
2025-01-30,55.4,55.4,55.4,55.4,10961611,52.239999999999995,56.19500000000001,0.04983892363085074,-0.2164887299604985,0.0,0.0
2025-01-31,57.0,58.17,56.55,58.17,111500110,53.366,56.00599999999999,0.050000000000000044,9.17187254683641,0.02784940691077883,0.020526315789473715
2025-02-01,60.5,61.07,56.51,58.16,168912946,54.952,55.971500000000006,-0.00017190991920246201,0.5149128193685191,0.07840440165061903,-0.03867768595041328
2025-02-03,57.78,59.1,55.41,56.37,93425367,56.174,55.745999999999995,-0.030777166437414016,-0.4469022700012585,0.06546035125066534,-0.024402907580477737
2025-02-04,57.19,57.98,55.96,56.92,42367489,57.004,55.5905,0.009756962923541002,-0.5465097932128005,0.035488404778636615,-0.0047211050883020815
2025-02-05,57.24,57.77,55.77,55.9,37787329,57.104,55.49150000000001,-0.017919887561489878,-0.10810553346694673,0.03577817531305903,-0.023410202655485733
2025-02-06,55.91,56.38,54.55,54.92,31769107,56.45399999999999,55.45899999999999,-0.017531305903398908,-0.159265609908549,0.03332119446467599,-0.017707029153997404
2025-02-07,54.97,55.08,52.92,53.61,38821987,55.544,55.41700000000001,-0.02385287691187188,0.22200435158596044,0.04029099048684941,-0.024740767691468064
2025-02-10,53.39,54.39,52.31,52.72,31170558,54.814,55.194500000000005,-0.01660138033948888,-0.19709009227168095,0.03945371775417296,-0.012549166510582539
2025-02-11,52.85,53.05,50.32,51.99,49471491,53.827999999999996,54.931000000000004,-0.013846737481031823,0.5871224057009181,0.05251009809578759,-0.01627246925260169
2025-02-12,51.99,52.99,49.05,52.4,69163693,53.128,54.707499999999996,0.007886131948451558,0.39805151617524515,0.07519083969465658,0.00788613194845156
2025-02-13,52.81,53.95,52.29,53.35,41607228,52.814,54.533,0.018129770992366456,-0.39842385223704,0.031115276476101288,0.0102253361105851
2025-02-14,53.55,53.88,50.45,51.14,45983899,52.32000000000001,54.185500000000005,-0.041424554826616666,0.10519016070957665,0.06707078607743448,-0.045004668534080236
2025-02-17,51.0,51.69,49.5,51.42,46742293,52.06,53.885000000000005,0.005475166210402893,0.01649259885509058,0.04259043173862306,0.008235294117647092
2025-02-18,51.0,51.35,49.49,50.64,38970008,51.79,53.661,-0.015169194865811031,-0.16627949767034322,0.036729857819905204,-0.007058823529411754
2025-02-19,50.3,55.28,49.84,54.16,71927816,52.14200000000001,53.653499999999994,0.06951026856240117,0.8457223821970989,0.10044313146233379,0.07673956262425446
2025-02-20,54.0,55.35,53.25,54.88,38873355,52.448,53.770500000000006,0.013293943870014813,-0.45955046097882357,0.038265306122449,0.016296296296296343
2025-02-21,54.9,56.3,54.3,55.17,56799902,53.254,54.0175,0.005284256559766831,0.46115255552292833,0.0362515860068878,0.004918032786885303
2025-02-24,54.6,54.7,53.45,54.29,43162800,53.827999999999996,54.21900000000001,-0.015950697843030714,-0.24009023818386166,0.023024498065942162,-0.005677655677655719
2025-02-25,54.29,55.08,54.27,54.58,21791959,54.616,54.3095,0.005341683551298493,-0.4951217483573819,0.014840600952729849,0.005341683551298566
2025-02-27,54.64,54.94,51.75,52.13,39073334,54.21,54.145999999999994,-0.04488823744961512,0.7930161303992909,0.061193170918856656,-0.04593704245973642
2025-02-28,51.21,51.9,49.51,49.71,93211241,53.176,53.723,-0.046422405524649935,1.385546137424567,0.04807885737276203,-0.029291154071470416
2025-03-03,50.05,51.19,46.6,49.78,108578059,52.098,53.303999999999995,0.001408167370750446,0.1648601374162586,0.09220570510245071,-0.005394605394605316
2025-03-04,48.85,51.49,48.52,50.11,67731679,51.262,52.991,0.006629168340698932,-0.3761936838454627,0.059269606864897205,0.02579324462640733
2025-03-05,50.6,52.05,50.51,51.49,72632328,50.644000000000005,52.719500000000004,0.027539413290760484,0.07235386856422088,0.02990872013983296,0.01758893280632412
2025-03-06,52.69,52.89,51.72,52.1,56090540,50.638,52.529500000000006,0.011846960574869003,-0.22774690630871697,0.022456813819577766,-0.011197570696526786
2025-03-07,51.99,56.94,51.6,54.92,106855231,51.68000000000001,52.5295,0.05412667946257188,0.9050490688804209,0.09723233794610335,0.05635699172917868
2025-03-10,55.11,56.79,52.76,53.24,81450055,52.372,52.511,-0.030589949016751605,-0.23775322707411484,0.07569496619083398,-0.03393213572854287
2025-03-11,52.02,54.15,51.63,53.76,58522186,53.102,52.563,0.009767092411720357,-0.2814960530106456,0.04687499999999993,0.03344867358708179
2025-03-12,54.06,54.45,52.77,53.85,48314005,53.574,52.656000000000006,0.0016741071428572063,-0.17443266729646767,0.031197771587743728,-0.0038845726970033454
2025-03-13,54.35,55.0,53.62,54.58,43837645,54.07000000000001,52.765,0.013556174558960077,-0.09265139580127957,0.025283986808354756,0.004231830726770872
2025-03-17,54.74,56.5,54.25,54.5,54133951,53.986000000000004,52.822500000000005,-0.0014657383657017409,0.23487361148163877,0.04128440366972477,-0.004384362440628462
2025-03-18,55.35,55.55,54.76,54.98,42339442,54.334,53.0145,0.008807339449541152,-0.21787637484653577,0.014368861404146949,-0.006684733514001889
2025-03-19,55.39,58.0,55.34,57.76,79465967,55.134,53.33149999999999,0.050563841396871645,0.876877994754867,0.04605263157894731,0.04278750677017507
2025-03-20,58.9,59.4,56.68,58.39,51729766,56.041999999999994,53.71900000000001,0.010907202216066558,-0.3490324480667303,0.04658331906148311,-0.008658743633276707
2025-03-21,58.38,58.65,55.94,56.5,104724888,56.426,53.836,-0.03236855625963353,1.0244608877604433,0.04796460176991152,-0.03220280918122649
2025-03-24,57.69,58.36,57.05,57.91,58367956,57.108000000000004,53.9875,0.024955752212389326,-0.4426543955816883,0.02262130892764639,0.0038134858727682246
2025-03-25,58.46,59.48,57.05,57.65,66615843,57.641999999999996,54.1115,-0.00448972543602133,0.14130847754887976,0.04215091066782307,-0.01385562777967845
2025-03-26,57.9,58.63,56.3,57.43,52250161,57.576,54.268499999999996,-0.0038161318300086178,-0.21564963157487926,0.040571130071391355,-0.008117443868739187
2025-03-27,57.11,57.94,56.44,57.01,49678644,57.3,54.39000000000001,-0.007313250914156355,-0.04921548471400883,0.026311173478337134,-0.0017510068289266576
2025-03-28,57.36,58.4,56.4,56.66,43376048,57.331999999999994,54.616499999999995,-0.006139273811612056,-0.126867311434668,0.03529827038475115,-0.012203626220362671
2025-04-01,55.5,56.98,55.11,55.75,40810312,56.9,54.918499999999995,-0.016060713025061735,-0.059150985815950796,0.03354260089686094,0.0045045045045045045
2025-04-02,55.84,57.74,54.36,57.43,49530064,56.855999999999995,55.301,0.03013452914798198,0.21366540887999097,0.058854257356782215,0.028474212034383887
2025-04-03,56.21,57.82,56.2,57.49,42914792,56.867999999999995,55.67,0.0010447501305939078,-0.13356073999823626,0.02817881370673156,0.02277174879914608
2025-04-04,57.49,57.5,54.66,55.36,51863551,56.538,55.8635,-0.037049921725517576,0.20852388146259693,0.051300578034682146,-0.03704992172551753
2025-04-07,46.9,53.1,46.15,52.12,81905901,55.629999999999995,55.8645,-0.0585260115606937,0.5792574827743668,0.13334612432847281,0.1113006396588486
2025-04-08,54.34,54.34,52.73,53.08,40949448,55.096000000000004,55.7725,0.018419033000767415,-0.5000427624866736,0.030331574981160635,-0.023187338976812754
2025-04-09,53.07,53.76,51.01,51.21,50850121,53.852,55.67100000000001,-0.03522984174830435,0.2417779355658225,0.053700449131029095,-0.03504804974561898
2025-04-11,53.96,53.96,52.16,53.0,49591603,52.95399999999999,55.633,0.03495411052528796,-0.024749557626421392,0.03396226415094348,-0.0177909562638992
2025-04-15,54.88,55.66,53.91,54.37,58941572,52.75599999999999,55.65899999999999,0.025849056603773457,0.18853935816513134,0.032186867757954755,-0.009293002915451988
2025-04-16,54.51,54.89,53.85,54.34,34690956,53.2,55.647000000000006,-0.0005517748758505636,-0.4114348358404828,0.019138755980861226,-0.003118693817648039
2025-04-17,54.33,55.72,54.01,55.07,54279879,53.598,55.6755,0.013433934486565935,0.5646694487174122,0.03105138914109317,0.013620467513344415
2025-04-21,55.55,61.1,55.5,60.29,169658526,55.414,55.940999999999995,0.09478845106228428,2.125624616812429,0.0928843921048267,0.08532853285328537
