DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
14/10/2025,54.65,54.7,53.62,53.95,40526897
13/10/2025,54.29,54.48,53.72,54.35,44487704
10/10/2025,53.3,54.75,53.23,54.31,58987213
09/10/2025,52.8,53.53,52.55,53.17,63749358
08/10/2025,54.13,54.14,52.66,52.77,60453406
07/10/2025,54.35,54.8,53.95,54.01,50646458
06/10/2025,55.0,55.17,53.92,54.11,45009790
03/10/2025,55.44,55.48,53.85,54.46,69042422
01/10/2025,55.05,55.36,54.6,55.18,46144026
30/09/2025,55.38,55.46,54.41,55.05,57639009
29/09/2025,55.7,56.36,55.15,55.28,49687799
26/09/2025,56.96,57.23,55.15,55.28,54393034
25/09/2025,57.5,58.2,56.45,56.64,38206699
24/09/2025,58.78,58.88,57.36,57.5,36883372
23/09/2025,60.0,60.13,58.63,58.75,43152416
22/09/2025,60.4,60.97,59.67,59.93,62077740
19/09/2025,59.25,60.61,59.06,60.4,84643232
18/09/2025,59.41,59.66,58.75,59.08,34615017
17/09/2025,60.0,60.08,58.75,59.29,63663995
16/09/2025,58.3,59.65,58.29,58.98,83962341
15/09/2025,57.39,58.45,57.2,58.07,47861584
12/09/2025,57.26,57.42,56.73,57.11,30872715
11/09/2025,57.57,58.04,56.88,56.94,35651527
10/09/2025,57.3,58.03,57.21,57.57,37061910
09/09/2025,57.73,57.75,57.0,57.06,28437335
08/09/2025,58.1,58.25,57.35,57.45,31288449
05/09/2025,57.64,58.15,57.3,57.87,36924536
04/09/2025,58.74,58.9,57.27,57.42,45523685
03/09/2025,58.25,58.72,57.9,57.99,44161578
02/09/2025,58.45,59.1,57.9,58.25,72989341
01/09/2025,56.9,57.98,56.57,57.86,62787374
29/08/2025,56.35,57.15,55.53,56.43,66053084
28/08/2025,57.31,57.31,55.89,56.32,57742437
26/08/2025,57.04,57.45,56.61,56.97,54251386
25/08/2025,59.04,59.04,57.36,57.43,55015151
22/08/2025,58.39,59.29,58.06,58.51,67410588
21/08/2025,60.16,60.24,58.01,58.16,53042863
20/08/2025,59.65,60.35,59.2,59.85,59028795
19/08/2025,58.25,59.75,57.72,59.59,100339049
18/08/2025,61.5,61.64,56.62,58.07,175241892
14/08/2025,60.68,60.99,60.0,60.06,61474611
13/08/2025,63.15,63.8,60.1,60.38,173116275
12/08/2025,64.2,64.95,62.57,63.13,98199194
11/08/2025,63.2,64.78,62.89,63.32,56446107
08/08/2025,64.5,64.52,62.96,63.19,44361456
07/08/2025,64.81,65.26,62.21,64.21,75542321
06/08/2025,65.78,65.85,64.57,65.26,47280146
05/08/2025,65.0,66.1,64.87,65.44,49369073
04/08/2025,66.6,66.81,64.65,65.0,72002898
01/08/2025,62.3,66.8,62.3,65.95,282885799
31/07/2025,60.05,62.02,59.78,61.6,52270070
30/07/2025,61.98,62.05,61.01,61.21,26142390
29/07/2025,60.69,62.61,59.95,61.79,53322991
28/07/2025,63.5,63.55,60.65,60.85,63833967
25/07/2025,65.3,65.32,62.83,63.62,55135489
24/07/2025,65.98,66.24,65.05,65.32,25857103
23/07/2025,66.1,66.44,65.52,65.98,32844030
22/07/2025,66.68,66.78,65.7,66.58,35735857
21/07/2025,65.24,66.5,65.0,66.42,35813725
18/07/2025,66.26,66.59,64.77,65.06,37155281
17/07/2025,67.1,67.14,66.05,66.26,31477927
16/07/2025,67.3,68.3,66.85,67.03,52713937
15/07/2025,65.47,67.4,65.47,67.17,68141681
14/07/2025,66.22,66.44,65.26,65.44,37954638
11/07/2025,65.97,66.26,65.25,65.92,32762054
10/07/2025,66.0,66.54,65.51,65.97,31012486
09/07/2025,66.47,66.85,65.72,65.94,39940889
08/07/2025,65.79,66.5,65.3,66.26,40707600
07/07/2025,65.8,66.59,65.13,65.88,41996456
04/07/2025,65.5,65.7,64.92,65.53,32254269
03/07/2025,65.4,66.21,64.92,65.27,48302742
02/07/2025,67.38,67.52,64.4,64.79,72931988
01/07/2025,67.72,68.12,67.01,67.2,49316098
30/06/2025,67.65,68.17,66.5,67.72,100164317
27/06/2025,64.8,67.7,64.45,67.32,157324744
26/06/2025,64.54,65.57,64.08,64.53,63684828
25/06/2025,64.9,64.9,63.91,64.32,51596980
24/06/2025,63.7,64.67,63.26,64.39,84498836
23/06/2025,62.6,63.2,62.05,62.79,48152988
20/06/2025,62.56,64.48,62.42,63.23,155351419
19/06/2025,64.0,64.4,61.76,62.53,90679408
18/06/2025,64.52,65.24,63.81,64.07,49246678
17/06/2025,65.41,65.87,64.11,64.52,62347373
16/06/2025,64.5,65.8,63.16,65.41,82798745
13/06/2025,64.19,65.48,63.32,64.73,90307455
12/06/2025,67.75,67.89,65.5,65.68,91116082
11/06/2025,68.6,69.4,67.12,67.59,99916334
10/06/2025,67.83,69.5,66.8,68.29,158113094
09/06/2025,67.75,68.3,67.0,67.13,110914040
09/06/2025,66.05,66.05,66.05,66.05,198163974
06/06/2025,67.4,67.5,66.1,66.71,75950376
05/06/2025,67.0,68.6,66.5,66.77,116558636
04/06/2025,68.35,68.58,66.5,66.72,125734824
03/06/2025,71.7,72.4,67.9,68.15,166631797
02/06/2025,72.2,73.5,70.71,71.19,173588228
30/05/2025,71.5,74.3,70.55,71.48,547640042
29/05/2025,67.19,67.61,64.75,65.42,106020315
28/05/2025,65.71,68.5,65.51,66.32,162393521
27/05/2025,64.9,66.0,63.61,65.39,125848116
26/05/2025,62.83,65.95,62.74,64.37,127004476
23/05/2025,61.45,62.9,60.66,62.21,90698519
22/05/2025,61.0,61.72,60.35,61.01,43220436
21/05/2025,60.2,61.65,59.35,61.28,57916922
20/05/2025,61.95,62.19,60.1,60.35,64416562
19/05/2025,61.21,62.6,61.12,61.53,53353255
16/05/2025,61.6,62.13,60.35,61.08,77800547
15/05/2025,60.4,61.77,60.1,61.22,79989466
14/05/2025,57.9,60.4,57.4,59.92,97734016
13/05/2025,57.2,58.17,56.71,57.6,55623455
12/05/2025,56.24,57.4,55.24,56.95,89597903
09/05/2025,51.25,53.0,51.1,52.67,68598385
08/05/2025,55.5,55.98,52.8,53.15,65062799
07/05/2025,52.4,55.18,52.4,54.7,100831859
06/05/2025,57.0,57.49,53.42,53.74,59698908
05/05/2025,56.5,57.25,56.35,56.92,30173749
02/05/2025,56.16,56.99,55.86,56.25,42139460
30/04/2025,57.7,57.9,56.0,56.4,55507075
29/04/2025,58.0,59.5,57.35,57.7,51629064
