DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
16/09/2025,"1,411.90","1,424.00","1,396.30","1,399.70",73493.0
17/09/2025,"1,401.00","1,405.00","1,387.00","1,396.40",33485.0
18/09/2025,"1,410.00","1,410.10","1,381.50","1,387.90",39629.0
19/09/2025,"1,398.50","1,399.00","1,376.50","1,379.30",41258.0
22/09/2025,"1,386.00","1,396.50","1,377.00","1,385.50",45783.0
23/09/2025,"1,389.70","1,389.70","1,373.00","1,377.30",27756.0
24/09/2025,"1,377.20","1,386.00","1,369.80","1,376.90",20544.0
25/09/2025,"1,370.50","1,376.90","1,341.60","1,348.50",21399.0
26/09/2025,"1,352.00","1,355.30","1,323.20","1,327.40",21281.0
29/09/2025,"1,334.10","1,337.50","1,310.00","1,313.30",26095.0
30/09/2025,"1,318.00","1,326.00","1,281.30","1,294.00",39805.0
01/10/2025,"1,310.00","1,311.00","1,290.60","1,298.80",91243.0
03/10/2025,"1,310.00","1,310.00","1,294.00","1,297.80",151916.0
06/10/2025,"1,310.00","1,423.10","1,308.40","1,385.40",275911.0
07/10/2025,"1,395.00","1,402.00","1,336.90","1,343.00",74940.0
08/10/2025,"1,353.70","1,357.30","1,305.00","1,311.20",53931.0
09/10/2025,"1,324.00","1,337.10","1,310.70","1,316.70",51602.0
10/10/2025,"1,323.30","1,344.80","1,320.10","1,338.10",37658.0
13/10/2025,"1,345.00","1,345.00","1,304.40","1,317.50",53577.0
14/10/2025,"1,346.00","1,346.00","1,299.90","1,304.10",70890.0
15/10/2025,"1,313.90","1,319.80","1,290.00","1,296.60",195593.0
16/10/2025,"1,316.60","1,349.90","1,311.60","1,327.00",174310.0
17/10/2025,133.1,133.4,125.5,126.1,1247970.0
20/10/2025,125.4,125.7,121.3,122.9,725428.0
21/10/2025,123.4,124.9,122.5,124.1,225599.0
23/10/2025,126.9,129,124.2,125.1,593719.0
24/10/2025,125.1,127.9,124.2,126.8,288371.0
27/10/2025,128.5,129.1,126.6,127.3,269687.0
28/10/2025,128.3,128.6,124.2,125,397192.0
29/10/2025,125,125.5,121.9,122.8,807765.0
30/10/2025,123,124.1,122.1,122.5,356439.0
31/10/2025,122.6,124.4,120,122,331251.0
03/11/2025,123.2,123.7,122.01,122.83,197177.0
