Date,Close,High,Low,Open,Volume
,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS,ROLEXRINGS.NS
13/03/2025,135.3200073,141.1399994,133.5,136.7149963,364530
17/03/2025,131.0800018,136.5,130.1000061,135.7149963,385030
18/03/2025,131.0800018,131.0800018,131.0800018,131.0800018,0
19/03/2025,135.2949982,135.9400024,132.6000061,133.3600006,275880
20/03/2025,133.5050049,139.3950043,132.9550018,136.5249939,376010
21/03/2025,135.0500031,137.3450012,132.8300018,133.3000031,415080
24/03/2025,137.3399963,141.9649963,135.7749939,136.8899994,516900
25/03/2025,137.5950012,140,135.1000061,138.6549988,758710
26/03/2025,135.0850067,138.1950073,132.9949951,137.5,335430
27/03/2025,126.6750031,134.8150024,124.0149994,134.8150024,1138580
28/03/2025,127.9100037,131.6999969,127.5,128.9700012,366820
01/04/2025,129.875,132.6950073,127.0500031,128,193690
02/04/2025,130.6900024,131.8999939,127.8000031,131.0700073,117480
03/04/2025,132.3200073,133.7850037,128.5599976,128.5599976,141790
04/04/2025,132.3099976,136.1450043,126.1999969,132.5650024,495420
07/04/2025,123.5950012,126.5800018,121.0400009,124.9950027,411360
08/04/2025,126.1149979,130.9949951,123.0849991,125.0999985,98400
09/04/2025,124.1100006,125.8899994,123.3249969,124.0049973,86430
11/04/2025,133.3350067,134.8999939,125.375,125.375,513900
15/04/2025,134.6999969,136.0899963,133.1300049,134.9799957,144600
16/04/2025,134.3200073,138,133.5299988,134.6999969,174060
17/04/2025,133.5399933,135.5099945,133.1199951,135.5099945,71780
21/04/2025,135.5299988,138.9900055,132.5,133.5399933,162350
22/04/2025,137.6199951,141,136.8000031,137,252130
23/04/2025,139.8999939,140.8999939,136.5,138.9499969,233460
24/04/2025,138.3600006,141.9900055,137.7100067,140.8000031,237840
25/04/2025,134.6799927,139.4799957,133.5099945,138,135800
28/04/2025,134.6799927,136.7700043,132.1699982,135.7899933,161810
29/04/2025,133.6999969,137,133.3000031,136.6999969,100190
30/04/2025,128.6600037,134.7899933,128.1300049,133.3000031,218470
02/05/2025,128.4499969,132.8000031,126.6399994,128.5,159030
05/05/2025,129.9199982,134.6900024,126.4400024,128.6499939,350700
06/05/2025,126.6500015,131.4199982,125.6999969,130.8999939,187880
07/05/2025,123.9800034,127.7900009,122,125.6999969,489870
08/05/2025,123.0899963,128.8399963,122.1200027,124.0299988,267230
09/05/2025,126.2200012,127,121.0999985,122.3899994,238530
12/05/2025,134.2899933,136.5,128.8000031,130,251290
13/05/2025,138.9499969,139.8000031,133.7200012,134.2899933,281290
14/05/2025,139.6100006,144.2899933,138.75,140.3500061,368530
15/05/2025,143.5899963,145.4499969,139.6699982,140.7299957,351250
16/05/2025,153.3899994,155.4799957,143.0099945,144.3099976,526600
19/05/2025,150.7200012,155.8999939,150.0099945,155.4900055,302580
20/05/2025,146.4499969,151.8000031,145.5099945,150.7200012,170790
21/05/2025,147.3800049,149.4600067,145.3899994,147.6499939,144390
22/05/2025,148.1100006,148.9799957,145.9100037,147,76050
23/05/2025,146.7899933,148.6999969,145.6100006,148.1100006,104410
26/05/2025,149.5200043,151.1999969,145.9700012,148.1999969,394220
27/05/2025,155.0399933,162.6900024,148.8500061,149.5200043,1144460
28/05/2025,157.6199951,158.6999969,153.6799927,157.3699951,271710
29/05/2025,157.8699951,158.2599945,155.1699982,157.0200043,198140
30/05/2025,160.2899933,163.4799957,157,157,446320
02/06/2025,156.5899963,162.9100037,151.5,161.7299957,446420
03/06/2025,159.5500031,160.4400024,156.2200012,157.8399963,180940
04/06/2025,160.1999969,163.6999969,158.5399933,158.75,333000
05/06/2025,162.1799927,165,159.0899963,159.5,204200
06/06/2025,160.3300018,166,159.8999939,163.7200012,134480
09/06/2025,158.8200073,162.3999939,158.1100006,160.5,112020
10/06/2025,157.4199982,161.8800049,156.4199982,159.6100006,146800
11/06/2025,161.9600067,163,157.4900055,157.4900055,174940
12/06/2025,157.5500031,161.9600067,157,161.9600067,79390
13/06/2025,154.1799927,156.1699982,153.6300049,156,125170
16/06/2025,150.5899963,154,149.75,153.4100037,236150
17/06/2025,150.2899933,155,148.8399963,150,214220
18/06/2025,149.8099976,152.8699951,149,150.2899933,129490
19/06/2025,146.3699951,150.3999939,145.6600037,149.1000061,105690
20/06/2025,146.6300049,149,145.1999969,145.8099976,106240
23/06/2025,147.1300049,148.4900055,145.5200043,145.9100037,94790
24/06/2025,151.8699951,153.6199951,147.3099976,148.5500031,142390
25/06/2025,152.1900024,155.8999939,151.1100006,151.5,93970
26/06/2025,156.7299957,157.7400055,151.6000061,151.6000061,134210
27/06/2025,161.5800018,166,155.6399994,156.8000031,1426990
30/06/2025,161.0800018,164.1999969,160.5,161.3899994,203340
01/07/2025,161.75,162.9400024,159.1799927,161.0800018,153690
02/07/2025,157.8899994,162.8800049,157.5099945,162,218750
03/07/2025,156.8300018,159.5,155.7599945,158,129480
04/07/2025,154.3999939,159.3099976,153.6999969,157.8899994,190740
07/07/2025,156.6199951,159.8899994,153.8600006,154.5,353850
08/07/2025,153.5700073,157.7100067,153.0099945,156.6199951,215400
09/07/2025,155.6399994,156.1999969,154.1999969,155.1100006,85290
10/07/2025,154.8500061,157.6999969,153.9100037,156.6900024,118650
11/07/2025,152.6799927,155.1600037,152,155.1600037,110570
14/07/2025,151.5099945,154.6499939,150.8200073,153.7200012,127860
15/07/2025,151.9799957,154,151.1799927,152.9499969,144960
16/07/2025,152.1699982,154.8000031,151.9799957,153.0399933,133490
17/07/2025,151.8300018,154.8000031,151.4700012,153.5,157890
18/07/2025,149.1499939,153.3000031,148.8000031,151.9900055,181160
21/07/2025,149.3999939,150.5,148.6100006,150.2799988,336180
22/07/2025,150.6399994,154.0899963,148.6000061,148.6000061,256040
23/07/2025,150.5399933,151.4600067,149.0099945,150.6399994,70140
24/07/2025,149.7899933,152.0800018,148.6100006,150.5399933,101070
25/07/2025,147.3600006,150.6000061,147,150.6000061,118730
28/07/2025,143.9700012,148.1499939,143,145.5599976,126800
29/07/2025,143.1300049,145.4900055,141.4199982,142.5099945,146030
30/07/2025,143.7299957,145.5899963,143,144.1999969,64860
31/07/2025,142.9299927,145.8999939,141.0500031,141.5700073,97390
01/08/2025,141.0899963,144.2899933,140.1300049,143.5,53610
04/08/2025,140.4799957,142.4499969,138.1699982,142.4400024,98950
05/08/2025,140.0200043,142.3999939,139.0200043,141.8500061,86090
06/08/2025,137.7899933,140.4700012,137.5,140.2899933,54830
07/08/2025,138.5200043,142.1699982,135.5,138.9900055,87510
08/08/2025,141.4400024,142.9600067,138.1600037,139.8899994,75090
11/08/2025,138.2400055,142.3699951,136.5,142.1000061,85350
12/08/2025,135.1699982,142.4199982,134.1100006,138.2400055,174260
13/08/2025,133.5299988,136,132.7200012,135.1999969,326650
14/08/2025,137.0399933,137.6100006,133.8099976,134.8000031,86560
18/08/2025,137.3699951,140.0800018,136.7200012,138.8999939,76150
